iyear,imonth,iday,latitude,longitude,city
2005,8,2,33.778175,76.576171,Sanglow
2005,8,2,34.257778,74.368889,Nandihal
2005,8,2,33.778175,76.576171,Unknown
2005,8,2,34.532834,74.413723,Sayiwan
2006,4,2,34.288891,74.463715,Sopore
2006,4,2,24.886739,85.542532,Nawada
2006,8,2,33.14575,75.548049,Doda district
2006,10,2,27.637545,94.884828,Dhemaji district
2006,12,2,23.669296,86.151112,Bokaro
2007,2,2,33.778175,76.576171,Unknown
2007,2,2,20.650346,85.597222,Dhenkanal
2007,6,2,26.747373,89.051571,Binnaguri
2007,11,2,26.149794,91.763931,Guwahati
2007,11,2,21.458685,82.015578,Unknown
2008,1,2,17.376812,78.487812,Hyderabad
2008,1,2,23.610181,85.279935,Unknown
2008,2,2,29.685693,76.990483,Karnal District
2008,4,2,24.749905,84.370896,Kala Pahar
2008,6,2,24.744071,86.457931,Narganjo
2008,6,2,22.342947,87.304564,Kharagpur
2008,6,2,25.906267,93.72759,Dimapur
2008,7,2,23.905309,86.193332,Topchanchi
2008,7,2,17.837685,81.429027,Kalimela
2008,7,2,23.905309,86.193332,Topchanchi
2008,7,2,32.983025,75.710981,Bhaderwah
2008,7,2,25.698501,85.165898,Sonepur
2008,7,2,26.65125,90.639045,Chirang
2008,8,2,33.266512,75.004888,Gool
2008,8,2,24.680089,94.048449,Yairipok
2008,10,2,24.749905,84.370896,Erauri
2008,10,2,24.749905,84.370896,Ketkii
2008,10,2,24.204235,84.870937,Chatra
2008,11,2,22.424109,87.318986,Medinipur
2008,11,2,18.106465,83.395692,Vizianagaram
2008,12,2,25.846376,93.4306,Diphu
2008,12,2,33.93407,75.268323,Awoora
2008,12,2,34.288891,74.463715,Sopore
2009,4,2,24.080548,85.486537,Moktama
2009,4,2,24.080548,85.486537,Moktama
2009,4,2,24.080548,85.486537,Moktama
2009,4,2,18.364195,81.892418,Malkangiri
2009,5,2,26.415798,92.843682,Kathalguri
2009,5,2,18.9,81.35,Dantewada
2009,7,2,22.585272,87.049698,Lalgarh
2009,8,2,33.14575,75.548049,Doda
2009,8,2,24.628724,93.761325,Bishnupur
2009,9,2,22.648503,87.163478,Memul
2009,10,2,22.522673,86.873498,Kapgari
2009,10,2,25.483872,86.701438,Khagaria district
2009,12,2,24.179793,86.306772,Giridih district
2009,12,2,24.179793,86.306772,Giridih district
2010,2,2,26.821592,92.681002,Rangapara
2010,2,2,22.451393,86.992203,Jhargram
2010,3,2,25.195693,86.541023,Goghaldiha
2010,5,2,18.791667,80.816667,Bijapur
2010,5,2,33.14575,75.548049,Doda district
2010,5,2,22.486676,86.499655,East Singhbhum district
2010,5,2,22.610968,84.502431,Simdega district
2010,6,2,21.812876,80.183829,Balaghat
2010,7,2,24.749905,84.370896,Aurangabad
2010,7,2,21.217183,85.784604,Palaspal
2010,8,2,24.798346,93.94043,Imphal
2010,9,2,22.238019,86.801633,Ektal
2010,10,2,18.9,81.35,Dantewada
2010,10,2,21.323543,80.136014,Saitola
2010,10,2,20.150041,80.212611,Mendhatola
2010,10,2,18.768007,82.233881,Ramgiri
2010,12,2,18.45767,79.941488,Tupakulagudem
2010,12,2,18.435465,79.129664,Karimnagar
2010,12,2,18.435465,79.129664,Karimnagar
2010,12,2,18.262023,79.686485,Laxmipuram
2010,12,2,18.951288,79.805131,Sarvaipeta
2010,12,2,21.390826,85.373043,Banspal
2010,12,2,25.320817,85.125607,Pali
2011,2,2,25.856089,84.856857,Prithwipur
2011,2,2,18.791667,80.816667,Bijapur
2011,2,2,34.288891,74.463715,Sopore
2011,2,2,34.288891,74.463715,Sopore
2011,3,2,23.806818,84.296339,Jerua
2011,3,2,25.446142,93.013695,Dima Hasao district
2011,4,2,26.1503,91.736061,Guwahati district
2011,4,2,26.746018,92.095943,Udalguri
2011,4,2,18.102171,81.950754,Naguluru
2011,4,2,22.451393,86.992203,Jhargam
2011,5,2,24.822128,93.874214,Lamdeng
2011,5,2,26.745469,92.095702,Nalkhamra
2011,5,2,27.165019,84.323812,Ramnagar
2011,5,2,9.683637,76.336538,Cherthala
2011,6,2,18.667221,81.671991,Tongpal
2011,6,2,23.075278,85.278889,Khunti
2011,7,2,25.380634,86.465382,Bangalwa Kareli
2012,3,2,25.853894,90.945418,Arengdo
2012,5,2,18.701641,81.248451,Bacheli
2012,5,2,25.578773,91.893254,Shillong
2012,5,2,33.311591,75.766219,Kishtwar district
2012,5,2,18.813487,82.712333,Koraput
2012,5,2,26.54257,90.474846,Bongaigaon district
2012,6,2,24.798346,93.94043,Imphal
2012,6,2,21.091089,80.931236,Bhanpuri
2012,6,2,23.743805,84.504337,Latehar district
2012,6,2,33.768445,74.819283,Vishroo
2012,6,2,28.606951,76.990486,Najafgarh
2012,6,2,25.24003,86.984512,Bhagalpur
2012,7,2,26.133848,87.462061,Araria district
2012,7,2,25.580833,91.873611,Lumdiengiri
2012,8,2,25.49546,90.61682,Darimgre
